event_year,event_month,occurrence_created,date,lock_down
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,No,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
2019,1,Yes,2019-01-01,0
